delta,rho_pseudo,rho_hetero,cost80_homo,cost80_hetero
0.0,0.19535163336192715,0.5571952612425958,0.4485096561323221,0.4710934816276568
0.5,0.2920786360603689,0.561162947129605,0.45597067517234935,0.47768481381763395
1.0,0.43002662504160166,0.6077885824821602,0.45721337057746575,0.4798360780614397
1.5,0.5550108750169923,0.6691325064570414,0.45937103681270747,0.5065267666692522
2.0,0.6413745099601719,0.7041743815224711,0.5074994476186124,0.5361191920610663
2.5,0.6926662229159734,0.7565887368574015,0.6120121859020916,0.5592841966052878
3.0,0.6882400206875324,0.7982744426163167,0.8743065873715873,0.6514931296299679
