,rho_between,rho_between,rho_within,rho_within,mean_vb,mean_vb,mean_vw,mean_vw,mean_Strue,mean_Strue
,mean,std,mean,std,mean,std,mean,std,mean,std
delta,,,,,,,,,,
0.0,0.5309708062043847,0.02600491796983968,0.07978099965781198,0.028659240135096842,0.010129341732043544,0.002408582037060638,0.005550658812342978,0.00015236096655739804,0.010485221742364909,0.0009695789053493015
0.5,0.5715165648696326,0.017321001853960457,0.20775640274437931,0.032146207244541106,0.01536467470460799,0.0024757313737317024,0.006250902914929408,0.0001719044759416678,0.013705441010931305,0.0012374838011553378
1.0,0.6167548308669234,0.028290764104176736,0.3231733565208696,0.06659932425409798,0.026280926412740154,0.007984957438579722,0.0071865222628304205,0.00024073331339255063,0.023008464856366123,0.00870213090533636
1.5,0.6743771865268541,0.020417875814168086,0.48663541661783855,0.03161498898501294,0.06612798612926844,0.015308229761370985,0.008945215141688992,0.0003541583505253733,0.05536814970796177,0.009331197843210041
2.0,0.7125712383925601,0.012024177744636681,0.6261605174383086,0.01733310214833823,0.2618292558477555,0.06403673427376252,0.012888091546444424,0.0005696850771713562,0.2803152282725673,0.07468369418608749
2.5,0.7769311748924609,0.013000312126642192,0.7144700382344348,0.02049041208742392,0.4846387283290745,0.1935248985821713,0.017005130169378872,0.0005869621868137637,0.6131296026943519,0.25390829059013714
3.0,0.8231251142579912,0.004253929375038556,0.773693513583615,0.020756326376183486,1.2149792913144468,0.16570354536908838,0.024517542449336408,0.0011291760796273663,1.7533109424436637,0.16866746631278573
